1	0	1.157833	0.849632	0.308200	932.912346	1066.760271	133.847925	0
1	2	1.026467	1.017007	0.009460	817.098695	938.289639	121.190944	3
2	0	1.045680	0.884882	0.160798	901.524355	843.029477	-58.494878	0
2	2	1.080930	1.627031	-0.546101	589.101805	596.095164	6.993359	0
3	0	1.200388	1.136830	0.063558	707.590418	663.556322	-44.034096	0
3	2	0.974477	0.786348	0.188129	796.208361	853.097541	56.889180	1
4	0	0.879692	0.984878	-0.105185	741.056379	741.502800	0.446421	3
4	2	1.595866	0.766686	0.829181	804.564620	804.863255	0.298635	0
5	0	1.208034	1.262722	-0.054687	705.011160	673.201363	-31.809797	0
5	2	1.087111	1.463707	-0.376597	765.907213	815.002757	49.095543	1
6	0	-0.950170	-0.535212	-0.414958	1229.758194	1230.382631	0.624436	59
6	2	0.498169	-0.093350	0.591518	712.771583	726.300648	13.529065	0
7	0	-0.613407	-0.713516	0.100109	1317.631762	1443.544751	125.912989	58
7	2	0.012554	-0.897300	0.909854	1012.630044	890.079850	-122.550194	59
8	0	0.751658	0.782598	-0.030940	760.711867	763.305888	2.594021	15
8	2	1.049214	1.192909	-0.143695	628.196786	692.411101	64.214315	0
